iteration ,parse ,solve ,decision ,unit    ,visit    ,restart ,adjacency     ,virtual
        0 ,    2 , 5782 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,false
        1 ,    2 , 5685 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,false
        2 ,    2 , 5709 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,false
        3 ,    2 , 5724 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,false
        4 ,    2 , 5689 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,false
        0 ,    2 , 9057 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,false
        1 ,    2 , 9045 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,false
        2 ,    2 , 9043 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,false
        3 ,    2 , 9045 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,false
        4 ,    2 , 9060 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,false
        0 ,    2 , 1126 ,   21810 , 212210 , 2332324 ,      0 ,set           ,true
        1 ,    2 , 1122 ,   21810 , 212210 , 2332324 ,      0 ,set           ,true
        2 ,    2 , 1126 ,   21810 , 212210 , 2332324 ,      0 ,set           ,true
        3 ,    2 , 1142 ,   21810 , 212210 , 2332324 ,      0 ,set           ,true
        4 ,    2 , 1123 ,   21810 , 212210 , 2332324 ,      0 ,set           ,true
        0 ,    2 ,13821 ,  282452 ,2606158 ,29817242 ,      0 ,set           ,true
        1 ,    2 ,13803 ,  282452 ,2606158 ,29817242 ,      0 ,set           ,true
        2 ,    2 ,13806 ,  282452 ,2606158 ,29817242 ,      0 ,set           ,true
        3 ,    2 ,13862 ,  282452 ,2606158 ,29817242 ,      0 ,set           ,true
        4 ,    2 ,13828 ,  282452 ,2606158 ,29817242 ,      0 ,set           ,true
        0 ,    2 , 9003 ,  178690 ,1652571 ,19013405 ,      0 ,set           ,true
        1 ,    2 , 8779 ,  178690 ,1652571 ,19013405 ,      0 ,set           ,true
        2 ,    2 , 8776 ,  178690 ,1652571 ,19013405 ,      0 ,set           ,true
        3 ,    2 , 8775 ,  178690 ,1652571 ,19013405 ,      0 ,set           ,true
        4 ,    2 , 8785 ,  178690 ,1652571 ,19013405 ,      0 ,set           ,true
        0 ,    2 , 6808 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,true
        1 ,    2 , 6808 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,true
        2 ,    2 , 6806 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,true
        3 ,    2 , 6798 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,true
        4 ,    2 , 6812 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,true
        0 ,    2 ,10773 ,  221442 ,2053691 ,23705920 ,      0 ,set           ,true
        1 ,    2 ,10773 ,  221442 ,2053691 ,23705920 ,      0 ,set           ,true
        2 ,    2 ,10780 ,  221442 ,2053691 ,23705920 ,      0 ,set           ,true
        3 ,    2 ,10775 ,  221442 ,2053691 ,23705920 ,      0 ,set           ,true
        4 ,    2 ,10774 ,  221442 ,2053691 ,23705920 ,      0 ,set           ,true
        0 ,    2 ,  962 ,   21810 , 212210 , 2332321 ,      0 ,set           ,false
        1 ,    2 ,  961 ,   21810 , 212210 , 2332321 ,      0 ,set           ,false
        2 ,    2 ,  961 ,   21810 , 212210 , 2332321 ,      0 ,set           ,false
        3 ,    2 ,  961 ,   21810 , 212210 , 2332321 ,      0 ,set           ,false
        4 ,    2 ,  961 ,   21810 , 212210 , 2332321 ,      0 ,set           ,false
        0 ,    2 ,11754 ,  282452 ,2606158 ,29817412 ,      0 ,set           ,false
        1 ,    2 ,11756 ,  282452 ,2606158 ,29817412 ,      0 ,set           ,false
        2 ,    2 ,11760 ,  282452 ,2606158 ,29817412 ,      0 ,set           ,false
        3 ,    2 ,11755 ,  282452 ,2606158 ,29817412 ,      0 ,set           ,false
        4 ,    2 ,11761 ,  282452 ,2606158 ,29817412 ,      0 ,set           ,false
        0 ,    2 , 7450 ,  178690 ,1652571 ,19013493 ,      0 ,set           ,false
        1 ,    2 , 7454 ,  178690 ,1652571 ,19013493 ,      0 ,set           ,false
        2 ,    2 , 7451 ,  178690 ,1652571 ,19013493 ,      0 ,set           ,false
        3 ,    2 , 7451 ,  178690 ,1652571 ,19013493 ,      0 ,set           ,false
        4 ,    2 , 7454 ,  178690 ,1652571 ,19013493 ,      0 ,set           ,false
        0 ,    2 , 6351 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,false
        1 ,    2 , 6348 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,false
        2 ,    2 , 6357 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,false
        3 ,    2 , 6355 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,false
        4 ,    2 , 6349 ,  142616 ,1292338 ,14980128 ,      0 ,set           ,false
        0 ,    2 , 9328 ,  221442 ,2053691 ,23706599 ,      0 ,set           ,false
        1 ,    2 , 9317 ,  221442 ,2053691 ,23706599 ,      0 ,set           ,false
        2 ,    2 , 9325 ,  221442 ,2053691 ,23706599 ,      0 ,set           ,false
        3 ,    2 , 9333 ,  221442 ,2053691 ,23706599 ,      0 ,set           ,false
        4 ,    2 , 9330 ,  221442 ,2053691 ,23706599 ,      0 ,set           ,false
        0 ,    2 , 1126 ,   21810 , 213218 , 2342089 ,      0 ,set_unordered ,true
        1 ,    2 , 1123 ,   21810 , 212879 , 2338424 ,      0 ,set_unordered ,true
        2 ,    2 , 1123 ,   21810 , 212879 , 2338424 ,      0 ,set_unordered ,true
        3 ,    2 , 1123 ,   21810 , 212879 , 2338424 ,      0 ,set_unordered ,true
        4 ,    2 , 1123 ,   21810 , 212879 , 2338424 ,      0 ,set_unordered ,true
        0 ,    2 ,13779 ,  282452 ,2614285 ,29920888 ,      0 ,set_unordered ,true
        1 ,    2 ,13765 ,  282452 ,2611054 ,29860755 ,      0 ,set_unordered ,true
        2 ,    2 ,13758 ,  282452 ,2611054 ,29860755 ,      0 ,set_unordered ,true
        3 ,    2 ,13759 ,  282452 ,2611054 ,29860755 ,      0 ,set_unordered ,true
        4 ,    2 ,13758 ,  282452 ,2611054 ,29860755 ,      0 ,set_unordered ,true
        0 ,    2 , 8585 ,  178690 ,1653260 ,18993838 ,      0 ,set_unordered ,true
        1 ,    2 , 8604 ,  178690 ,1657673 ,19039908 ,      0 ,set_unordered ,true
        2 ,    2 , 8601 ,  178690 ,1657673 ,19039908 ,      0 ,set_unordered ,true
        3 ,    2 , 8601 ,  178690 ,1657673 ,19039908 ,      0 ,set_unordered ,true
        4 ,    2 , 8601 ,  178690 ,1657673 ,19039908 ,      0 ,set_unordered ,true
        0 ,    2 , 7236 ,  142616 ,1295611 ,14978456 ,      0 ,set_unordered ,true
        1 ,    2 , 7232 ,  142616 ,1295685 ,14977567 ,      0 ,set_unordered ,true
        2 ,    2 , 7233 ,  142616 ,1295685 ,14977567 ,      0 ,set_unordered ,true
